380,61,833,845,299,686,729,94,183,
521,248,840,576,260,434,39,601,604,
527,709,234,543,244,159,256,984,348,
239,460,522,375,194,814,790,501,368,
814,522,655,545,687,648,624,170,349,
191,829,684,473,87,685,317,863,681,
786,46,949,997,283,149,16,669,90,
291,121,425,322,988,919,937,511,18,
629,723,975,995,430,137,664,478,215,
320,332,45,553,125,935,481,142,394,
815,979,623,14,746,504,398,724,596,
367,528,922,359,475,926,155,101,761,
931,41,38,301,951,569,405,295,694,
823,472,958,544,379,641,48,201,319,
504,596,746,155,367,815,10,831,922,
339,651,762,691,251,573,966,766,975,
283,149,803,266,879,427,550,6,807,
612,631,558,449,323,495,401,388,907,
322,511,988,381,51,650,7,227,509,
830,716,192,933,666,568,160,671,694,
776,147,546,764,219,362,484,891,32,
342,124,369,586,456,721,359,922,27,
494,516,488,413,731,112,309,649,969,
999,525,91,476,523,77,97,421,207,
897,792,534,567,269,625,483,879,836,
588,782,548,745,785,34,741,663,157,
641,574,579,995,430,478,251,975,651,
124,795,342,707,582,369,865,337,660,
447,970,600,777,976,780,148,346,173,
884,410,569,537,397,813,131,261,891,
743,605,60,424,442,131,81,435,401,
143,866,555,127,840,76,730,934,631,
858,805,362,518,284,825,446,764,820,
445,700,82,992,71,436,231,306,898,
663,181,412,982,172,642,603,564,720,
559,966,384,651,480,256,984,989,762,
68,857,852,402,133,683,442,340,267,
49,441,571,839,899,447,28,970,575,
459,694,861,931,165,12,626,468,671,
308,434,260,248,521,338,207,708,471,
418,477,361,710,935,311,423,66,282,
12,931,254,301,884,38,569,165,295,
684,529,588,709,737,2,863,670,597,
153,952,203,101,425,985,770,532,736,
75,602,263,293,333,641,341,319,701,
379,48,394,320,9,58,324,403,578,
786,6,949,997,149,428,202,69,877,
7,572,896,291,988,347,937,425,919,
379,544,403,45,971,664,823,619,978,
37,571,441,839,970,28,447,600,899,
282,745,966,255,956,539,132,911,215,
411,509,880,772,453,778,128,195,455,
228,508,230,389,821,698,318,232,877,
506,224,80,851,165,942,136,748,254,
123,541,158,68,36,163,392,538,184,
344,505,302,314,182,244,909,674,159,
141,116,642,80,921,172,720,254,785,
753,276,180,385,920,698,238,318,311,
332,107,418,45,403,627,706,647,440,
496,466,570,618,139,341,896,154,876,
216,750,30,810,442,405,131,626,464,
0,356,288,138,183,686,729,833,380,
491,227,650,699,717,374,287,702,998,
887,295,569,301,217,671,405,931,38,
144,298,267,486,365,400,459,468,134,
223,933,716,830,886,406,19,160,162,
